"Akibatnya , perlakuan mengenai hak atas bunga tabungan tersebut berbeda-beda antardaerah","Akibaté, perawatan hak kanggo kapentingan tabungan beda-beda ing antarane wilayah"
Beberapa contoh program pemda kabupaten/kota yang disesuaikan dengan Program BOS antara lain adalah,Beberapa tuladha program pemda kabupaten/kitha ingkang dipunsamikaken kaliyan Program BOS antawis benten yaiku 
"Di samping itu , Pemkot Pasuruan juga mengalokasikan dana untuk merehabilitasi bangunan sekolah sebesar Rp13,4 miliar ","ing samping punika , Pemkot Pasuruan ugi mengalokasikandana konjuk merehabilitasi wungon sekolah saageng Rp13,4miliar "
"Dananya berasal dari pusat (50%) , provinsi (30%) dan pemkot (20%)","Dananya asalipun saking puser (50%) , provinsi (30%) uga pemkot (20%) "
"Di Kota Cilegon , pemkot memberikan tunjangan untuk guru , berupa uang transpor dan tunjangan kesejahteraan","ing kitha Cilegon , pemkot nyukakaken tunjangan konjuk guru ,berupa arta transpor uga tunjangan kesejahteraan "
"Selain itu , pemkot juga memberikan bantuan guru sebesar Rp50.000 per guru per bulan","kajawi punika , pemkot ugi nyukakaken bantuan guru saageng Rp50.000 saben guru saben wulan "
"Di Kabupaten Tapanuli Utara , pemkab merencanakan untuk memberi tunjangan kesejahteraan guru sebesar Rp50.000 per orang per bulan","ing Kabupaten Tapanuli ler , pemkab merencanakan konjuk nyukani tunjangan kesejahteraan guru saageng Rp50.000 saben tiyang saben wulan "
2.8.2 Tingkat Kepuasan terhadap Pelaksanaan Program Pelaksanaan ,2.8.2 tingkat kepuasan majeng pamontenan Programpamontenan 
Program BOS yang dilakukan secara tergesa-gesa dan tanpa persiapan yang matang ,Program BOS ingkang dipuntumindakake sacara kebujeng uga tanpa jagen ingkang matang 
"Skor rata-rata dari seluruh FGD (20 FGD) untuk ketujuh tahapan pelaksanaan berkisar antara 5,4-6,6",Skor radin-radin saking sedaya FGD (20 FGD) konjuk kepitu tahapan pamontenan berkisar antawis 54-66 
"Selain itu , cukup banyak yang tidak yakin bahwa beberapa pengaduan sudah ditindaklanjuti secara memadai","kajawi punika , cekap kathah ingkang mboten pitados menawi beberapa panggigatan sampun ditindaklanjuti sacara ngenteni "
Masalah penyaluran dana yang paling banyak disoroti adalah keterlambatan penerimaan dana di rekening sekolah,Masalah penyaluran dana ingkang paling kathah disoroti yaiku keterlambatan panampen dana ing rekening sekolah
"Perbedaan yang paling mencolok antara keduanya adalah masalah sosialisasi , penyaluran , dan pelaporan","bedan ingkang paling mencolok antawis kekalihipun yaiku masalah sosialisasi , penyaluran , uga pelaporan "
Pernyataan yang dikemukakan pejabat daerah juga seringkali tidak tepat ,yektosan ingkang dikemukakan pejabat daerah ugi seringkalimboten tepat 
Sehingga menimbulkan kesalahpahaman antara sekolah dan komite sekolah atau orangtua murid,dadosipun menimbulkan kesalahpahaman antawis sekolah uga komite sekolah utawi tiyang sepuh murid 
Mereka juga merasa terbantu dengan tidak adanya pungutan uang masuk sekolah dan berkurangnya pembelian buku pelajaran pokok,piyambake sedaya ugi rumaos terbantu kaliyan mboten entenipun pendhetan arta mlebet sekolah uga ngirangipun panumbas buku piwulang baku 
Pernyataan ini konsisten dengan penilaian tingkat manfaat bagi siswa miskin dalam FGD seperti disebutkan sebelumnya,yektosan niki konsisten kaliyan pangaosan tingkat gina kunjuk siswa miskin lebet FGD kados kanamanaken saderengipun 
Hampir semua orangtua murid yang anaknya dulu mendapat beasiswa (BKM) ternyata cenderung lebih suka dengan Program BOS,Hampir sedaya tiyang sepuh murid ingkang anakipun riyen nyaged beasiswa (BKM) jebulna cenderung langkung remen kaliyan Program BOS 
BKM hanya diterima satu semester saja karena diberikan secara bergiliran; ,BKM namung katampi setunggal semester kamawon amargi dipunsukakna sacara nggentosan; 
dan bila anak yang bersekolah lebih dari satu maka biasanya hanya satu anak yang mendapat BKM dengan alasan pemerataan,uga menawi anak ingkang bersekolah langkung saking setunggal mila biyasanipun namung setunggal anak ingkang nyaged BKMkaliyan alasan pemerataan 
Hasil kajian ini juga memperlihatkan posisi strategis sekolah sebagai ujung tombak pelaksanaan program ,pikantuk kajian niki ugi ningalaken posisi strategis sekolah dados ujung waos pamontenan program 
Saran-saran untuk penyempurnaan teknis dalam berbagai tahapan pelaksanaan program akan disajikan di sub-bab berikutnya,Saran-saran konjuk penyempurnaan teknis lebet macem-macem tahapan pamontenan program badhe dipuncawisaken ing sub-bab punikanipun 
"Dalam uraian berikut ini akan disampaikan pembahasan dan saran mengenai konsep program , khususnya berkaitan dengan","lebet uraian punika niki badhe katur pangrembagan uga saranngengingi konsep program , khususnya berkaitan kaliyan "
Kalau dikaitkan dengan mandat UU No 20 Tahun 2003 Pasal 5 dan Pasal 11 ,menawi dikaitkan kaliyan mandat UU No 20 taun 2003 Pasal 5uga Pasal 11 
Secara langsung ketentuan ini akan berdampak pada adanya diskriminasi atau perbedaan mutu pelayanan antarsekolah,sacara lajeng ketentuan niki badhe berdampak ing entenipun diskriminasi utawi bedan numa paladosan antarsekolah 
Padahal dana yang diberikan melalui Program BOS tidak akan mencukupi untuk memberikan pelayanan pendidikan yang bermutu,Padahal dana ingkang dipunsukakna langkung Program BOSmboten badhe nyekapi konjuk nyukakaken paladosan pamucalan ingkang bermutu 
"Perumusan ini tentunya didasari oleh pilihan politis mengenai tujuan program , yaitu apakah untuk","Perumusan niki tentunya didasari dening pilehan politisngengingi tujuan program , yaiku napa konjuk "
Untuk mengatasi permasalahan ini dibutuhkan keberanian untuk menegaskan posisi di antara kedua pilihan tersebut,konjuk nginggili permasalahan niki dipunbetahaken kekendhelan konjuk menegaskan posisi ing antawis kaping kalih pilehan kesebat 
"Ada beberapa alternatif cara penargetan , di antaranya dengan penargetan wilayah dan penargetan individu","enten beberapa alternatif cara penargetan , ing antawisipun kaliyan penargetan wilayah uga penargetan individu "
"Sebaiknya penentuan tidak dilakukan hanya oleh sekolah , tetapi oleh petugas tersendiri yang bersifat independen","sasaenipun penentuan mboten dipuntumindakake namung dening sekolah , nanging dening panjejibahan piyambak ingkang bersifat independen "
"Langkah dan kehendak ke arah ini didukung oleh beberapa alasan , baik praktis maupun legal","jangkah uga kajeng datheng arah niki didukung dening beberapaalasan , sae praktis kersaa legal "
"Program bantuan ini dalam praktiknya dikelola oleh unit-unit kerja pada instansi pendidikan , termasuk sekolah/madrasah","Program bantuan niki lebet praktiknya dikelola dening unit-unit nyambut damel ing instansi pamucalan , klebet sekolah/madrasah"
Pasal 108 ayat (1) UU No 33 Tahun 2004 tentang Perimbangan Keuangan Antara Pemerintah Pusat dan pemerintah daerah menyatakan,Pasal 108 ayat (1) UU No 33 taun 2004 babagan Perimbangankartan antawis pamerentah puser uga pamerentah daerahngginemaken 
Dalam kaitan ini urusan madrasah menjadi dilematis,lebet kaitan niki urusan madrasah dados dilematis 
Pasal 39 ayat (1) UU No 33 Tahun 2004 mengatakan,Pasal 39 ayat (1) UU No 33 taun 2004 ngginemaken 
â€œDAK dialokasikan kepada Daerah tertentu untuk mendanai kegiatan khusus yang merupakan urusan Daerahâ€,â€œDAK dialokasikan dhateng Daerah tertentu konjuk mendanaikengungkukan khusus ingkang ngrupikaken urusan Daerahâ€ 
REKOMENDASI UNTUK TIAP TAHAPAN PELAKSANAAN ,REKOMENDASI konjuk saben TAHAPAN pamontenan 
Sosialisasi v) Pelaksana program perlu mendapatkan pembekalan yang lebih baik,Sosialisasi v) pamonten program betah nyagedaken pembekalaningkang langkung sae 
Sosialisasi untuk pelaksana program sebaiknya diberikan dalam bentuk pelatihan,Sosialisasi konjuk pamonten program sasaenipun dipunsukakna lebet bentuk panglatian 
"Sosialisasi ke masyarakat juga perlu dilakukan melalui berbagai jalur , antara lain melalui","Sosialisasi datheng masyarakat ugi betah dipuntumindakake langkung macem-macem jalur , antawis benten langkung "
"sekolah , media elektronik dan cetak , serta penyebaran brosur dan poster","sekolah , miyambakipun elektronik uga cetak , mawi penyebaranbrosur uga poster "
viii) Sekolah sebaiknya diberi kebebasan untuk membuka rekening di lembaga keuangan manapun,viii) Sekolah sasaenipun dipunsukani kebebasan konjuk mbikak rekening ing lembaga kartan pundia 
"Oleh karenanya , perlu adanya sosialisasi bagi bank/lembaga keuangan tempat rekening sekolah dibuka","sarehdentenipun , betah entenipun sosialisasi kunjuk bank/lembaga kartan panggen rekening sekolah dipunbikak "
ix)Dana sebaiknya sudah masuk ke rekening sekolah pada awal semester agar sekolah bisa memanfaatkannya sesuai RAPBS,ix)Dana sasaenipun sampun mlebet datheng rekening sekolahing awal semester kajengipun sekolah sanguh ngginakaken piyambakipun sami RAPBS 
Untuk menunjang kelancaran penyaluran dana perlu didukung penjadwalan tahapan pelaksanaan yang ketat (lihat rekomendasi (i)),konjuk menunjang kelancaran penyaluran dana betah didukungpenjadwalan tahapan pamontenan ingkang ketat (ningal rekomendasi (i)) 
"xi) Tidak diperlukan adanya pengaturan batas waktu pengambilan dana , mengingat kebutuhan sekolah tiap bulan tidak selalu sama","xi) mboten dibetahaken entenipun panatanan wates wanci pamendhetan dana , ngeling kebetahan sekolah wulanan mboten salajeng sami "
"Di samping itu , perlu dipertegas bahwa pencairan dan penggunaan dana tidak dibatasi hanya untuk satu semester saja","ing samping punika , betah dipertegas menawi pencairan uga pangginan dana mboten dipunwatesi namung konjuk setunggal semester kamawon "
Kesepakatan tiap daerah ini harus dilaporkan dan mendapat persetujuan satker provinsi,Kesepakatan saben daerah niki kedah dilaporkan uga nyaged persetujuan satker provinsi 
Dinas pendidikan dan aparatnya di tingkat kecamatan harus melakukan pembinaan agar sekolah mampu menyusun RAPBS dengan baik,Dinas pamucalan uga aparatnya ing tingkat kecamatan kedah numindakake pembinaan kajengipun sekolah saged menyusunRAPBS kaliyan sae 
xiv) Pemberian prioritas manfaat bagi murid miskin perlu lebih ditekankan dan disosialisasikan secara terbuka,xiv) paweweh prioritas gina kunjuk murid miskin betah langkung ditekankan uga disosialisasikan sacara bikak 
"Di samping itu , perlu adanya aturan umum proses penentuan siswa miskin","ing samping punika , betah entenipun tatanan umum prosespenentuan siswa miskin "
Hasil kegiatan tersebut harus memberikan umpan balik yang jelas kepada lembaga pelaksana,pikantuk kengungkukan kesebat kedah nyukakaken umpan walik ingkang pertela dhateng lembaga pamonten
Unit monev independen ini juga melaksanakan fungsi penanganan pengaduan,Unit monev independen niki ugi nglampahi gina pananganan panggigatan 
xxi) Keberadaan unit dan media pengaduan perlu disosialisasikan secara luas kepada masyarakat dan sekolah,xxi) kewontenan unit uga miyambakipun panggigatan betah disosialisasikan sacara wiyar dhateng masyarakat uga sekolah 
"Selain itu , penyampaian informasi atas upaya tindak lanjut atau hasil penyelesaian setiap aduan harus disampaikan kepada pelapor","kajawi punika , penyampaian informasi inggil upaya tindak lajeng utawi pikantuk penyelesaian saben gigatan kedah katur dhateng pelapor "
Hal ini diperlukan untuk membangun kepercayaan masyarakat atas efektivitas layanan unit pengaduan yang tersedia,Hal niki dibetahaken konjuk mungu kapitadosan masyarakatinggil efektivitas ladosan unit panggigatan ingkang sampun dicawis 
"Selain itu , proses penanganan pengaduan yang ideal dan optimal memerlukan unsur","kajawi punika , proses pananganan panggigatan ingkang idealuga optimal mbetahaken unsur "
Aduan juga harus didokumentasikan dan diupayakan untuk ditindaklanjuti,gigatan ugi kedah didokumentasikan uga diupayakan konjuk ditindaklanjuti 
xxvi) Sebaiknya penanggung jawab program diserahkan kepada Departemen Pendidikan Nasional,xxvi) sasaenipun pananggel wangsul program diserahkandhateng Departemen pamucalan Nasional 
Pelaksana program di tingkat daerah diserahkan kepada dinas yang menangani masalah pendidikan,pamonten program ing tingkat daerah diserahkan dhateng dinasingkang nangani masalah pamucalan 
Ukuran Objektif Kesejahteraan Keluarga untuk Penargetan Kemiskinan,Ukuran Objektif Kesejahteraan Keluarga konjuk PenargetanKemiskinan 
"Pertama , sistem ini melibatkan masyarakat lokal , sehingga hasil yang didapat memanfaatkan pengetahuan lokal","setunggal , sistem niki melibatkan masyarakat lokal , dadosipun pikantuk ingkang dipunsaged ngginakaken pangasumerepan lokal "
"Kedua , indikator kemiskinan yang dihasilkan peka terhadap kondisi kemiskinan lokal , akurat , dan tidak mudah â€œdimodifikasiâ€","kaping kalih , indikator kemiskinan ingkang dipunpikantukaken peka majeng kondisi kemiskinan lokal , akurat , uga mboten gampil â€œdimodifikasiâ€ "
"Karena alasan tersebut di atas , sejak krisis 1997 pentingnya mekanisme penetapan sasaran yang sesuai telah mendapat perhatian","amargi alasan kesebat ing inggil , ket krisis 1997 wigatinipun mekanisme penetapan sasaran ingkang sami sampun nyaged mirengan "
Biaya dari masing-masing upaya â€œsensus masyarakat miskinâ€ ini bukannya tidak berarti,Biaya saking masing-masing upaya â€œsensus masyarakatmiskinâ€ niki sanesipun mboten nduwe artos 
Hal ini disebabkan oleh lemahnya metodologi dan minimnya pelatihan bagi para personel ,Hal niki sangking dening lemahnya metodologi uga minimnyapanglatian kunjuk para personel 
Ada beberapa perbedaan utama antara CBMS dan sistem pemantauan kemiskinan yang bersifat tradisional,enten beberapa bedan utami antawis CBMS uga sistempemantauan kemiskinan ingkang bersifat tradisional 
"Ketiga , CBMS peka terhadap kondisi-kondisi yang bersifat lokal","ketelu , CBMS peka majeng kondisi-kondisi ingkang bersifat lokal"
Hal ini penting karena kondisi kemiskinan seringkali berbeda bergantung pada kondisi lokalnya,Hal niki wigati amargi kondisi kemiskinan seringkali benten bergantung ing kondisi lokalnya 
"Dengan demikian , aparat pemerintah dapat membuat pemeringkatan keluarga di suatu desa yang didasarkan pada kesejahteraannya","kaliyan mekaten , aparat pamerentah saged ndamel pemeringkatan keluarga ing mukawis dhusun ingkang didasarkan ing kesejahteraannya "
Informasi ini akan sangat penting untuk meningkatkan penetapan keakuratan sasaran program penanggulangan kemiskinan,Informasi niki badhe wigati sanget konjuk ningkataken penetapankeakuratan sasaran program penanggulangan kemiskinan 
Informasi tingkat desa diperoleh dengan menggunakan daftar kontrol terstruktur.,Informasi tingkat dhusun dipundeningaken kaliyan ngginakaken daftar kontrol terstruktur.
Keluhan umum terhadap data BKKBN adalah bahwa data ini dapat dengan mudah disabotase,Keluhan umum majeng data BKKBN yaiku menawi data niki saged kaliyan gampil disabotase 
"Singkatnya , data dan metode pemrosesan yang kami pakai menjamin sabotase data menjadi lebih sulit dan hasilnya lebih objektif","Singkatnya , data uga metode pemrosesan ingkang kami angge njamaken sabotase data dados langkung rekaos uga pikantukipun langkung objektif "
