"Manusia membutuhkan makanan dan air supaya menjadi kuat dan sehat, begitu juga tanaman","Manungsa butuh pangan lan banyu dadi kuwat lan sehat, supaya tetanduran"
"Sebagaimana terlihat pada Tabel 3.5, biaya sertipikat sendiri 3,4 kali dari biaya resmi","Minangka ditampilake ing Tabel 3.5, biaya sertifikat kasebut dhewe yaiku 3,4 kaping ragad resmi"
Biaya untuk dokumen pendukung sebagaimana diuraikan pada sub Bab 3.4 relatif tinggi di semua wilayah,Biaya kanggo ndhukung dokumen sing kasebut ing bagean 3.4 relatif dhuwur ing kabeh wilayah
Oleh karena itu biaya rata-rata Rp13.204 per sertipikat membengkak menjadi Rp35.067 jika biaya lain-lain dimasukkan,"Mulane, biaya rata-rata Rp 13,204 per sertifikat ningkat nganti Rp 35.067 yen biaya liyane kalebu."
Banyak penerima manfaat memberikan uang sekedarnya kepada ketua RT sebagai tanda terima kasih atas bantuannya (lihat Tabel 3.6),Akeh wong sing nampa bantuan dhuwit minangka pitunjuk kanggo pitulungan (pirsani Tabel 3.6)
Beberapa responden juga mengatakan bahwa mereka juga memberikan uang tambahan kepada pegawai BPN dan anggota Tim Adjudikasi,Sawetara responden uga nyatakake uga menehi dhuwit tambahan kanggo karyawan BPN lan anggota Tim Adjudication
"Walaupun demikian, sulit untuk merinci jumlah uang yang telah dibayarkan responden kepada petugas tersebut","Nanging, angel kanggo nemtokake jumlah dhuwit sing ditampa responden marang pejabat"
Biaya setelah sertipikasi ini telah meningkatkan biaya PAP menjadi Rp36.449 per sertipikat (lihat Tabel 3.7),"Biaya sawise sertifikat iki wis ningkatake ragad PAP dadi Rp 36,449 per sertifikat (pirsani Tabel 3.7)"
"Terdapat sekitar 94,2% kasus dimana peserta PAP membayar keseluruhan biaya sertipikat dengan menggunakan tabungan mereka sendiri","Ana kira-kira 94,2% kasus ing ngendi peserta PAP mbayar biaya total sertifikat nganggo tabungan dhewe"
"Hanya sekitar 0,7% responden yang harus menjual aset mereka untuk dapat menutup biaya","Mung watara 0,7% responden kudu ngedol aset kanggo nutupi biaya"
Aset yang dijual terutama dalam bentuk perhiasan dan sedikit dari mereka yang harus menjual unggas atau ternak,Aset sing didol utamané ing bentuk perhiasan lan sawetara wong kudu ngedol unggas utawa ternak
Lainnya memperoleh uang dari anak mereka yang sudah dewasa atau saudara dekat,Liyane njaluk dhuwit saka anak diwasa utawa sanak sanak
Dalam hal ini tidak ada perbedaan yang nyata antar propinsi,"Ing kasus iki, ora ana prabédan nyata antarane propinsi"
3.7 Waktu yang dibutuhkan dalam proses sertipikasi dan kesalahan dalam sertipikat ,3.7 Wektu sing dibutuhake ing proses sertifikat lan kesalahan ing sertifikat
"Responsen di Kabupaten Kerawang menerima sertipikatnya hanya dalam waktu 1,2 bulan",Respon ing Distrik Kerawang nampi sertifikat mung ing 1.2 wulan
Hanya 8% dari 1.535 bidang tanah bersertipikat yang pemiliknya memberikan jawaban mengalami kekeliruan,Mung 8% saka 1.535 bandhing tanah sing nduweni sertifikat sing nduweni jawaban njawab kasalahan
"Sekitar 17,9% kasus lokasinya salah (yaitu salah nama jalan atau letak RT/RW)",Kira-kira 17.9% kasus ing lokasi sing salah (kayata jeneng dalan sing ora bener utawa lokasi RT / RW)
"Waktu yang diperlukan untuk memperbaiki kekeliruan berkisar dari 1 hari hingga 6 bulan, atau rata-rata 26 hari","Wektu sing dibutuhake kanggo mbenerake kesalahane antara 1 dina kanggo 6 sasi, utawa rata-rata 26 dina"
3.8 Alasan tidak berpartisipasi dalam PAP ,3.8 Alasan kanggo ora melu ing PAP
"Sebagaimana ditunjukkan pada Tabel 3.8 berikut, alasan untuk tidak berpartisipasi cukup beragam","Minangka ditampilake ing Tabel 3.8 ing ngisor iki, alasan kanggo ora melu cukup beda"
Alasan lain untuk tidak berpartisipasi dalam PAP adalah sebagai berikut,Alesan liya kanggo ora melu ing PAP yaiku kaya mangkene
"Mereka biasanya, tetapi tidak selalu, orang kota yang memiliki tanah di wilayah semi perkotaan dan perdesaan","Biasane, nanging ora mesthi, wong-wong kota sing duwe tanah ing wilayah semi-kutha lan pedesaan"
Penjelasan lain dari ketidakikutsertaan dalam PAP dijelaskan oleh aparat desa di wilayah semi perkotaan di Bekasi,Panjelasan liyane babagan partisipasi ing LAP diterangake dening pejabat desa ing wilayah semi-kutha Bekasi
"Juga ada masalah dengan bukti tanah usaha, yaitu tanah yang aslinya berasal dari pembebasan hutan yang diusahakan secara pribadi","Ana uga masalah bukti tanah bisnis, yaiku tanah sing asalé saka alas sing ditanami pribadi"
"Beberapa responden menyatakan bahwa mereka menyewa tanah secara tahunan, dan sudah berjalan antara 30 sampai 60 tahun","Sapérangan responden nyatakaké yèn dhéwéké nyewa tanah kanthi basis taunan, lan wis mlaku ing antarane 30 lan 60 taun"
Hampir semua responden menyatakan bahwa PAP bermanfaat bagi mereka yang memperolehnya,Meh kabeh responden nyatakake yen PAP bermanfaat kanggo wong sing entuk
yang sangat rentan terhadap kemungkinan gugatan pihak lain,sing banget ngrugekke kanggo tuntutan dening pihak liya
Dengan demikian kemungkinan konflik batas dengan tetangga dapat lebih dihindari,Mangkono kamungkinan konflik tapel wates karo tetangga bisa dihindari
"Di semua wilayah sampel, banyak masyarakat yang memanfaatkan pelaksanakan PAP sebagai wadah untuk pemecahan tanah warisan","Ing kabeh wilayah sampel, akeh komunitas nggunakake implementasine PAP minangka forum kanggo ngrusak tanah sing diwenehi warisan"
Bidang tanah yang sebelumnya masih atas nama orang tua dapat langsung dipecah menjadi atas nama beberapa ahli warisnya (anaknya),Parcels tanah sing sadurunge jenenge wong tuwa bisa langsung dipérang dadi jeneng sawetara ahli waris (anak-anake)
Untuk keperluan pemecahan tanah ini ahli waris hanya perlu melengkapi foto copy KTP masing-masing,Kanggo tujuan ngrampungake pewaris tanah iki mung perlu kanggo ngrampungake salinan kertu ID
Pendekatan dalam menganalisa ini dimaksudkan untuk memperkecil kemungkinan pengaruh faktor lain,Pendekatan panaliten iki dimaksudaké kanggo ngurangi kemungkinan ngedhunake faktor liya
"Khusus untuk analisa dampak, hanya digunakan satu bidang tanah untuk setiap rumah tangga responden","Utamane kanggo analisis impact, mung siji plot tanah sing digunakake kanggo saben kluwarga responden"
4.1.1 Manfaat sertipikat PAP dibandingkan dengan pengeluaran,4.1.1 Manfaat sertifikat PAP dibandhingake karo pengeluaran
"Hanya sedikit lebih tinggi dari setengah responden (50,1%) merasa sertipikat PAP itu sendiri sangat bermanfaat bagi mereka","Mung rada luwih saka setengah responden (50,1%) felt yen sertifikat PAP kasebut pancen bermanfaat kanggo wong-wong mau"
"Manfaat yang dirasakan termasuk bukti kepemilikan tanah, perasaan aman dan akses terhadap kredit","Keuntungan sing ditemokake kalebu bukti kepemilikan tanah, klebu aman lan akses menyang kredit"
Sekitar 39% responden mengatakan bahwa biaya yang murah dan proses sertipikat yang mudah adalah manfaat dari PAP,Sekitar 39% responden nyatakake yen proses sertifikasi biaya sing murah lan gampang yaiku manfaat saka PAP
"Hal ini berbeda dengan kesulitan, biaya dan waktu yang dibutuhkan untuk membuat sertipikat secara sporadis","Iki beda saka kasulitan, biaya lan wektu sing dibutuhake kanggo nggawe sertifikat sacara sporadis"
Persyaratan PAP tidak sulit dipenuhi bahkan di beberapa lokasi lebih mudah dari ketentuan,Persyaratan PAP ora angel ditindakake sanajan ing sawetara lokasi luwih gampang tinimbang panentu
Masyarakat juga hanya perlu berurusan dengan satu tim yang ada di tingkat desa,Masyarakat uga mung perlu nangani siji tim ing tingkat desa
"(1) di Jakarta, terdapat warga yang sudah mengurus selama dua tahun tetapi sertipikat belum diterbitkan; ","(1) ing Jakarta, ana warga sing wis ngatur rong taun nanging sertifikat durung diterbitake;"
"(2) di Bekasi, seorang informan mensertipikatkan tanahnya seluas 400 m2 dengan biaya Rp1,4 juta selama 1,5 tahun; ","(2) ing Bekasi, sawijining informan nyathetake tanah kanthi 400 m2 kanthi biaya Rp1,4 juta kanggo 1,5 taun;"
"(4) di Depok, dibutuhkan biaya Rp2 - Rp3 juta untuk tanah seluas 100 m2; ","(4) ing Depok, ragad Rp2 - Rp3 yuta dibutuhake kanggo tanah 100 m2;"
Hasil survei hanya mencatat enam bidang tanah bersertipikat dan satu bidang tanah tidak bersertipikat yang terkena penggusuran,Hasil panelitian mung dicatet enem wilayah sing disatifikasi lan siji potong tanah sing ora disertifikasi kaya sing diusir
Pembebasan tanah tersebut digunakan untuk pembangunan jalan dan perluasan sebuah BUMN pabrik gula,Penggabungan tanah digunakake kanggo konstruksi dalan lan ekspansi pabrik gula negara
Perbedaan selisih antara persentase agunan di lokasi PAP dengan di lokasi kontrol ternyata cukup besar,Bentenipun ing antarane persentase agunan ing lokasi PAP lan lokasi kontrol dadi cukup gedhe
"Diperkirakan sertipikat PAP telah meningkatkan penggunaan surat tanah sebagai agunan kredit sebesar 12,8%","Bab iki kira-kira yen sertifikat PAP wis nambah panggunaan sertifikat tanah minangka tambahan kanggo silihan 12,8%"
Untuk melihat pengaruh adanya PAP saja dapat didekati dengan membandingkan perubahan di lokasi PAP dengan di lokasi kontrol,Kanggo ndeleng efek saka PAP piyambak bisa didekek dening mbandhingake owah-owahan ing lokasi PAP karo sing ana ing lokasi kontrol
Angka tersebut menunjukkan persentase peningkatan jumlah agunan sebagai akibat adanya PAP,Angka iki nuduhake persentasi ningkatake jumlah agunan minangka asil saka PAP
"Peningkatan tertinggi terjadi di wilayah perdesaan (28,4%), diikuti wilayah semi perkotaan (13,4%) dan perkotaan (2,4%)","Peningkatan paling dhuwur ing wilayah pedesaan (28,4%), ditemoni wilayah semi-kutha (13,4%) lan perkotaan (2.4%)"
Sedangkan di wilayah perdesaan sebagian besar bekerja di bidang pertanian,Nalika ing dhaerah pedesaan paling akeh nggarap tetanèn
Pekerjaan di bidang jasa tersebut biasanya tidak membutuhkan modal sendiri,Proyek ing sektor layanan biasane ora mbutuhake modal dhewe
Hal sebaliknya terjadi pada bidang pertanian yang harus menyediakan modal untuk membeli sarana produksi pertanian,Ngelawan ana ing pertanian sing kudu nyedhiyani modal kanggo tuku fasilitas produksi pertanian
"Data untuk bidang perdagangan yang juga membutuhkan modal, meskipun bervariasi antar wilayah menunjukkan kecenderungan yang sama","Data kanggo sektor perdagangan sing uga mbutuhake ibukutha, sanajan iku beda-beda antarane wilayah nuduhake gaya sing padha"
Keadaan sebaliknya terjadi di wilayah perkotaan,Situasi sing gegandhèngan ana ing wilayah kutha
Fenomena ini juga dapat dijelaskan dengan melihat mata pencaharian kepala keluarga berdasarkan jenis wilayah (lihat Tabel 4.3),Fenomena kasebut bisa uga dijelasake kanthi nggoleki mata pencaharian kepala rumah tangga miturut jenis wilayah (baca Tabel 4.3)
Tanah pekarangan/pemukiman dan rumah merupakan jenis tanah yang paling banyak digunakan sebagai agunan,Wilayah / omah omah lan omah minangka jinis tanah sing paling akeh digunakake minangka agunan
Oleh karena itu tanah pemukiman mempunyai nilai lebih tinggi bila digunakan sebagai agunan,Mulane omah omah nduweni nilai sing luwih dhuwur yen digunakake minangka agunan
Sedangkan di Kantor Pertanahan dapat diketahui dari peningkatan pengajuan hak tanggungan dari masyarakat,"Nalika ing Kantor Tanah, bisa ditemokake saka paningkatan hak hipotek saka publik"
Dari semua kasus itu 60% terkait dengan penggunaan sertipikat PAP,Kasus kasebut 60% gegandhengan karo nggunakake sertifikat PAP
Di semua BRI Unit yang dikunjungi terjadi peningkatan jumlah pinjaman dan jumlah peminjam setelah adanya PAP,Ing kabeh unit BRI dibukak ana peningkatan jumlah pinjaman lan jumlah peminjam sawise PAP
"Menurut staf BRI, adanya sertipikasi PAP ini memberi keuntungan bagi bank","Miturut staf BRI, ana sertifikat PAP nyedhiyakake manfaat kanggo bank kasebut"
Kekuatan hukum dari pinjaman lebih kuat kalau sertipikat digunakan sebagai jaminan,Kekuwatan hukum silihan luwih kuwat yen sertifikat kasebut digunakake minangka jaminan
Juga sebagai jaminan untuk jumlah pinjaman yang besar akan lebih aman karena dilaporkan terlebih dahulu ke Kantor Pertanahan,Uga minangka tambahan kanggo jumlah silihan gedhe bakal luwih aman amarga wis dilaporake dhisik ing Kantor Tanah
Variasi plafon pinjaman terjadi antar unit bank,Variasi langit-langit pinjaman dumadi antarane unit bank
Sebagian besar pinjaman dari bank digunakan untuk kegiatan usaha,Utang saka bank-bank digunakake kanggo bisnis
"Di lokasi kontrol, pinjaman untuk usaha mencapai 78,6% (53,6% untuk usaha non pertanian dan 25,0% untuk usaha pertanian)","Ing lokasi kontrol, kredit kanggo bisnis tekan 78,6% (53,6% kanggo bisnis non-pertanian lan 25,0% kanggo usaha pertanian)"
"Selebihnya untuk tujuan konsumsi, membuat/memperbaiki rumah, biaya sekolah anak, dan biaya berobat","Sisane kanggo konsumsi, nggawe / ndandani omah, biaya sekolah kanggo bocah, lan biaya kesehatan"
Jumlah transaksi gadai tanah baik di lokasi PAP maupun di lokasi kontrol sangat kecil,Jumlah transaksi pawn tanah ing lokasi PAP lan ing lokasi kontrol cilik banget
"Diantara 1.002 responden peserta PAP, hanya terdapat dua transaksi sebelum ada PAP dan tujuh transaksi setelah PAP","Wonten ing 1.002 peserta PAP, wonten kalih transaksi saderengipun wonten PAP lan pitung transaksi sasampunipun PAP"
Di lokasi kontrol hanya terdapat empat transaksi sebelum PAP dan dua transaksi setelah PAP,Ing lokasi kontrol mung ana papat transaksi sadurunge PAP lan rong transaksi sawise PAP
Temuan ini diperkuat oleh pengakuan dari para informan yang menyebutkan bahwa transaksi gadai di wilayah mereka sangat jarang,Penemuan iki dikuatake kanthi ngakoni para informan sing nyatakake yen transaksi hipotek sing ana ing wilayah kasebut langka banget
"Setelah jangka waktu yang disepakati berakhir, pemilik tanah akan mengembalikan pinjamannya sekaligus menerima kembali tanahnya","Sawise wektu sing wis ditampa wis rampung, pemilik tanah bakal ngasilake silihan nalika nampa tanah maneh"
"Uang hasil gadai digunakan responden untuk modal usaha non pertanian, perbaikan rumah, investasi, dan sekolah anak","Dhuwit pawitan digunakake dening responden kanggo modal usaha non-pertanian, perbaikan omah, investasi, lan sekolah anak"
"Rata-rata peningkatan nilai PBB di lokasi PAP adalah 93.5%, sedangkan di lokasi kontrol lebih kecil, yaitu rata-rata 60,3%","Tambah rata-rata skor PBB ing lokasi PAP ana 93,5%, nalika lokasi kontrol luwih cilik, sing rata-rata 60,3%"
"Secara keseluruhan, peningkatan PBB yang dipengaruhi oleh adanya PAP rata-rata mencapai 33,2% (Tabel 4.4)","Ing umumé, kenaikan PBB dipengaruhi dening pangaruh anané PAP rata-rata 33,2% (Tabel 4.4)"
"Peningkatan tertinggi di wilayah perkotaan (55,8%) dan terendah di wilayah semi perkotaan (13,3%)","Peningkatan paling dhuwur ing wilayah kutha (55,8%) lan paling ora ing wilayah semi-kutha (13,3%)"
"Meskipun demikian, iuran desa ini tidak dapat dianalisis secara statistik karena sedikitnya data yang diperoleh dalam survei","Nanging, sumbangan desa iki ora bisa dianalisis sacara statistika amarga jumlah data cilik sing ditampa ing survey kasebut"
Hanya 13 dari 1.002 responden PAP dan 8 dari 508 responden kontrol yang menjawab pertanyaan tentang iuran desa,Mung 13 saka responden 1.002 PAP lan 8 saka 508 responden kontrol njawab pitakonan babagan kontribusi desa
Mereka yang menjawab berasal dari wilayah perdesaan dan semi perkotaan,Wong-wong sing njawab teka saka wilayah deso lan semi-kutha
Besarnya iuran yang dibayarkan tetap berdasarkan ukuran bidang tanah,Jumlah sumbangan sing dibayar adhedhasar ukuran bingkisan kasebut
Sertipikat PAP tidak mempengaruhi besarnya iuran,Sertifikat PAP ora nggawa jumlah sumbangan
Perlakuan terhadap laki-laki dan perempuan ,Pangobatan lanang lan wadon
"Perempuan lain meminta suami, anak/menantu laki-laki atau orangtua/mertuanya untuk mengurus atas namanya","Wanita liyane nyuwun suami, anak lanang utawa wadon, utawa wong tuwa / mantu kanggo ngurus jeneng kasebut"
Sertipikat yang menggunakan baik nama suami maupun istri jumlahnya sangat kecil,Sertifikat sing nggunakake jeneng bojo loro banget
"Jika tanah tersebut hibah atau warisan dari keluarga isteri, maka nama yang tercatat pada sertfikat adalah nama isteri","Yen tanah minangka ganjaran utawa pusaka saka kulawarga garwane, banjur jeneng sing dicathet ing sertifikat iku jeneng garwane"
"Tanah yang dibeli oleh suami baik sebelum menikah maupun sesudah menikah, sebagian besar (77,6%%) menggunakan nama suami","Tanah sing dituku dening bojo sadurunge nikah lan sawise nikah, paling (77.6%) nggunakake jeneng bojo"
"Demikian juga tanah yang dibeli istri sebelum dan sesudah menikah, sebagian besar (74%) menggunakan nama istri","Kajaba iku, tanah sing dituku dening garwa sadurunge lan sawise nikah, paling (74%) nggunakake jeneng garwane"
Hal ini terjadi karena di wilayah ini pembagian waris dan hibah dari orang tua banyak diberikan kepada anak perempuan,Iki kedadeyan amarga ing wilayah iki distribusi warisan lan hibah saka akeh wong tuwa diwenehake marang bocah-bocah wadon
